,importance,feature
2232,0.0189284085552921,v50_v33_v111
231,0.01889640006018992,v52v107
1856,0.018879080132129453,v65v106
1975,0.018776063585035148,v83v33
1788,0.018723295186710166,v17v123
2027,0.018717347676606783,v50_v21_v17
2196,0.018664091354586035,v50_v114_v51
882,0.018649810927584828,v22_v72_v30_v71
2150,0.01859355666700744,v50_v4_v51
1775,0.0185848717694105,v88v119
367,0.018515247831153676,v22_v72_v112
1829,0.018433968184504865,v130v12
2227,0.018392350680591273,v50_v48_v88
1731,0.018378433920805997,v36v21
1812,0.01833271554706978,v55v48
1701,0.018323683107796526,v33v114
1653,0.018323312066767284,v76v14
1763,0.018203519996774113,v101v119
2179,0.01811880169994556,v50_v93_v51
2369,0.018085760924339302,v50_v14_v83
1928,0.01796711956792368,v88v51
2278,0.01787727852986316,v50_v33_v65
630,0.0178730814755418,v22_v72_v91_v52
1662,0.01777909665394017,v119v34
2344,0.017747533058988255,v50_v101_v61
2380,0.01773717107120048,v50_v114_v33
2007,0.017724002376306024,v111v36
2045,0.017628838396938084,v50_v83_v36
1704,0.017532020861037546,v76v114
1588,0.017375756556874,v101v50
1897,0.017322209966669427,v55v101
1773,0.017286484672126613,v76v119
1718,0.017236556549954256,v101v21
14,0.01720297658592812,v101
2243,0.01718533719972844,v50_v33_v55
2348,0.017155119967662696,v50_v64_v44
2180,0.017131136154837193,v50_v34_v55
1621,0.017101665203608257,v44v10
2390,0.017099223762199064,v50_v114_v4
2385,0.017067697364934804,v50_v114_v55
2298,0.017003960232320155,v50_v64_v130
1887,0.01698576643533534,v36v64
2343,0.01694082024364732,v50_v64_v17
1680,0.016914093078459515,v121v34
2049,0.016904583148682043,v50_v76_v36
1766,0.016884292566762424,v61v119
2061,0.01675564528880232,v50_v123_v12
2054,0.016753553073618845,v50_v44_v36
1859,0.01672978522053861,v85v93
2370,0.016661053058519778,v50_v14_v33
1601,0.016646505735909183,v36v50
2264,0.01662420972558897,v50_v44_v111
1908,0.01655621918655703,v44v85
1988,0.016535167172556778,v65v55
2030,0.01652819502979563,v50_v21_v65
1635,0.016473023396650976,v4v14
1785,0.01646500037157227,v85v123
23,0.016417979829496672,v83
1824,0.0164079230779154,v85v12
2393,0.016348494685907863,v50_v114_v17
2013,0.01630028484222076,v50_v21_v123
2100,0.01627731551757503,v50_v119_v111
1935,0.016217390420270258,v33v61
101,0.01620534917162671,v112v31
243,0.01619675306150377,v125v112
2292,0.015968292626436467,v50_v101_v83
1722,0.015914241914519664,v17v21
1753,0.015898079455054812,v88v4
1586,0.015877159153556076,v93v50
2323,0.015811403934859414,v50_v17_v88
1681,0.01574509402900953,v88v34
1749,0.015671411706043508,v55v4
1675,0.015615812725586818,v130v34
2310,0.01551146171037847,v50_v4_v65
1771,0.015488856814292124,v55v119
2357,0.015477120853084987,v50_v106_v17
1732,0.015420639920406773,v111v21
2042,0.01538044785593669,v50_v48_v36
2164,0.01533711346186315,v50_v51_v44
